"","state","abbreviation","meanrat_com","meanrat_medicaid","meanrat_medicare","meanrat_overall"
"1","massachusetts","MA",4.35294117647059,4,3.84615384615385,4.11111111111111
"2","hawaii","HI",4.25,3.5,3.58333333333333,3.75
"3","pennsylvania","PA",4.175,3.88888888888889,3.77777777777778,3.96808510638298
"4","wisconsin","WI",4.15789473684211,3.66666666666667,4.1,4.0625
"5","rhode island","RI",4.07142857142857,4.5,3.75,4.09090909090909
"6","new hampshire","NH",4.04545454545455,4.25,3.75,4
"7","maine","ME",4,NA,4,4
"8","minnesota","MN",3.95454545454545,4,4.25,4.02941176470588
"9","north dakota","ND",3.875,NA,4,3.9
"10","connecticut","CT",3.76923076923077,NA,3.78571428571429,3.775
"11","new york","NY",3.725,3.92857142857143,3.9,3.82978723404255
"12","virginia","VA",3.72222222222222,3.66666666666667,3.36363636363636,3.6
"13","vermont","VT",3.71428571428571,NA,4,3.81818181818182
"14","maryland","MD",3.69444444444444,4,3.91666666666667,3.80645161290323
"15","iowa","IA",3.67857142857143,NA,4.21428571428571,3.85714285714286
"16","michigan","MI",3.66666666666667,3.75,3.46666666666667,3.60810810810811
"17","new jersey","NJ",3.53571428571429,3,3.57142857142857,3.44230769230769
"18","california","CA",3.5,2.95,3.38888888888889,3.34375
"19","ohio","OH",3.5,3.4,3.5,3.48611111111111
"20","west virginia","WV",3.5,3.5,3.44444444444444,3.47058823529412
"21","oregon","OR",3.4,NA,3.33333333333333,3.35714285714286
"22","washington","WA",3.4,3.5,3.63333333333333,3.51428571428571
"23","colorado","CO",3.38461538461538,3,3.75,3.5
"24","delaware","DE",3.375,3,3.875,3.46428571428571
"25","north carolina","NC",3.375,NA,3.29166666666667,3.325
"26","tennessee","TN",3.35,3.25,3.44444444444444,3.3448275862069
"27","south dakota","SD",3.33333333333333,NA,3.5,3.375
"28","missouri","MO",3.28571428571429,2.75,3.55,3.34615384615385
"29","idaho","ID",3.25,NA,3.4375,3.34375
"30","utah","UT",3.25,3.75,3.61111111111111,3.47368421052632
"31","florida","FL",3.21875,3.125,3.84210526315789,3.4468085106383
"32","illinois","IL",3.21052631578947,2.8,3.58333333333333,3.26595744680851
"33","georgia","GA",3.19230769230769,3.33333333333333,3.2,3.20967741935484
"34","nebraska","NE",3.1875,4,3.8,3.46428571428571
"35","texas","TX",3.18181818181818,3.1,3.36842105263158,3.25
"36","kansas","KS",3.16666666666667,3.16666666666667,3.61111111111111,3.33333333333333
"37","arizona","AZ",3.15,NA,3.375,3.27272727272727
"38","louisiana","LA",3.125,2.9,3.4375,3.19047619047619
"39","indiana","IN",3.0625,3.25,3.3125,3.2
"40","alaska","AK",3,NA,4,3.33333333333333
"41","kentucky","KY",3,3.3,3.27272727272727,3.17307692307692
"42","south carolina","SC",3,3,3.33333333333333,3.11111111111111
"43","wyoming","WY",3,NA,4,3.33333333333333
"44","arkansas","AR",2.83333333333333,NA,2.90909090909091,2.89285714285714
"45","mississippi","MS",2.83333333333333,2.75,3.4,3.03846153846154
"46","oklahoma","OK",2.8,NA,3.55555555555556,3.28571428571429
"47","alabama","AL",2.75,NA,3.33333333333333,3.1
"48","montana","MT",2.7,NA,3.5,2.92857142857143
"49","nevada","NV",2.7,2.5,3.64285714285714,3.02631578947368
"50","new mexico","NM",2.66666666666667,3,3.58333333333333,3.02631578947368
