"","2.5 %","97.5 %"
"(Intercept)",1.93549376803396,3.39783956529963
"stateAlaska",-1.3227525282003,0.989419194866756
"stateArizona",-0.900332037186458,0.76699870385289
"stateArkansas",-0.534034629686285,1.53403462968608
"stateCalifornia",-1.07576224684142,0.492428913507861
"stateColorado",-1.1152371017961,0.496189482748302
"stateConnecticut",-0.247060936589946,1.37526606479487
"stateDelaware",-0.455396850810868,1.23317462858845
"stateFlorida",-0.289756993623886,1.2897569936237
"stateGeorgia",-0.439368628897637,1.18295837248717
"stateHawaii",0.308464644106397,2.15820202256013
"stateIdaho",-1.00033203718645,0.666998703852892
"stateIllinois",-0.32576224684141,1.24242891350785
"stateIndiana",-0.500332037186428,1.16699870385287
"stateIowa",-0.234293113368713,1.36762644670181
"stateKansas",-0.525809485657729,1.10914281899085
"stateKentucky",-0.700332037186409,0.96699870385284
"stateLouisiana",0.37793648252247,2.06650796192175
"stateMaine",0.163457111607431,1.87820955505903
"stateMaryland",-0.506080626055708,1.0674841348274
"stateMassachusetts",-0.275943860515832,1.31761052718229
"stateMichigan",-0.50809424465325,1.10333233989112
"stateMinnesota",-0.350332037186426,1.31699870385286
"stateMississippi",0.271166408965495,2.06216692436763
"stateMissouri",-0.300959780035386,1.30095978003518
"stateMontana",-0.791535355893632,1.05820202256007
"stateNebraska",-0.550332037186417,1.11699870385285
"stateNevada",-1.62790458037829,0.0218439743174542
"stateNew Hampshire",0.299667962813579,1.9669987038529
"stateNew Jersey",-0.79380853036754,0.817618054176841
"stateNew Mexico",-1.52404288839256,0.190709555059014
"stateNew York",-0.150762246841414,1.41742891350784
"stateNorth Carolina",-0.461542888392575,1.25320955505902
"stateNorth Dakota",-0.633917494253118,1.30058416091957
"stateOhio",-0.334293113368721,1.26762644670184
"stateOklahoma",-0.383917494253112,1.55058416091955
"stateOregon",-1.12790458037827,0.521843974317452
"statePennsylvania",0.0742377531585829,1.64242891350785
"stateRhode Island",-0.149042888392571,1.56570955505902
"stateSouth Carolina",-0.254871147768397,1.49296638586341
"stateSouth Dakota",-0.312166924367847,1.47883359103429
"stateTennessee",0.235731783258086,1.88548033795382
"stateTexas",-0.434293113368719,1.16762644670182
"stateUtah",-1.46915686205412,0.278680671577695
"stateVermont",-0.0240428883925704,1.690709555059
"stateVirginia",-0.783264436656551,0.802872279793581
"stateWashington",-1.02594386051583,0.567610527182272
"stateWest Virginia",-0.508917494253112,1.42558416091955
"stateWisconsin",-0.0507622468414157,1.51742891350786
"stateWyoming",-1.20070129635295,0.867367963019393
